"Area","Company","Item","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Rhode Island"," Total of All Companies","Residential Sales Revenue","218375597","207256532","239129013","257793486","282351550","296545287","294413900","298781634","305590696","279217285","258460510","226995805","265156336","298565653","285414262","237341826","258294057","321271570","305581491","275195636","300715413"
"South Carolina"," Total of All Companies","Residential Sales Revenue","332309821","268681925","321190350","351678923","423583996","432708587","431543151","456444737","405082275","421856197","347279892","302519021","361123435","403571999","358542038","347932791","369598785","430541282","396246748","392614278","474365300"
"South Carolina"," Total of All Companies","Residential Sales Volume","27484889","27621416","29153564","29314427","28537009","24927580","25158144","27100470","27160373","32430053","26850931","22833804","28642468","31903752","28414274","27561896","25538065","31994066","30316421","29111329","33204630"
"South Dakota"," Total of All Companies","Residential Sales Volume","12334979","12896838","13174819","12280804","12212285","11513585","12401866","13566129","13594953","12815239","12961488","10742305","13919900","14212627","11750866","11662688","12145925","14279632","14808800","13208164","12447181"
"South Dakota"," Total of All Companies","Residential Sales Revenue","105719774","89372023","111848029","116916709","142675073","127890895","130075351","153556111","124278688","112389866","111337063","90160487","114623247","131759134","97557158","88616780","99357064","109358572","107909129","93916773","121408929"
"Tennessee"," Total of All Companies","Residential Sales Volume","68052959","69329728","69746125","65330917","66277320","61017913","60736326","69181342","66111060","74316157","67190282","53809598","71241394","78394670","67312175","58923961","56660930","74802165","69088282","65606910","71697822"
"Tennessee"," Total of All Companies","Residential Sales Revenue","691325621","565091647","673862351","692431982","894749866","899549377","815336667","982466453","803453203","777318895","686152643","535603318","672374505","794417185","647851330","542477121","584371347","707703137","653434818","588783667","737785992"
"Texas"," Total of All Companies","Residential Sales Revenue","1854281072","1530638948","1906714663","1986239185","2311183075","2179145275","2398519710","2649750781","2149145930","2450111117","2035635759","1787155607","2169593549","2611040266","2244965149","2051691488","2229178310","2585941567","2415620162","2374063240","2899411264"
"Texas"," Total of All Companies","Residential Sales Volume","208448991","209950557","206693922","191505209","185122401","166223278","199797941","192745867","192105200","226405846","199335795","169411618","206621043","234038514","210991748","174949480","163772583","226527287","227728212","203937498","210613625"
"Utah"," Total of All Companies","Residential Sales Revenue","444830816","379589835","400671872","491578269","563749063","661406538","571438228","593499825","583149529","543542341","591595344","520069843","602562582","592381430","569293361","583322550","603825431","609372062","593940951","604748985","643953376"
"Utah"," Total of All Companies","Residential Sales Volume","55007710","59397690","54631845","60526936","58043610","60016584","60563497","65974417","65184303","66087491","70076327","59800783","70490688","62457666","58561755","63928739","66700428","67415346","75938283","74191338","71628156"
"Vermont"," Total of All Companies","Residential Sales Volume","2719227","2760716","3118387","3112218","3088201","2874431","3206971","3074844","3183422","3078179","3214383","3011635","3415109","3826416","3833121","3518031","3509464","4081124","4139395","3808126","3732192"
"Vermont"," Total of All Companies","Residential Sales Revenue","27381771","28689843","31330903","34328428","37660975","40746802","51291085","56312611","55047357","49681191","51963170","50387297","54205735","56183350","55799523","49773477","49550836","55719677","54411489","50303530","52274146"
"Virginia"," Total of All Companies","Residential Sales Volume","64413987","67578655","75162877","73015518","76399111","64782684","73094151","72328719","76727407","80109576","71418926","63036129","77046778","83605675","76490172","69496833","69241163","80762371","73775878","67276508","73161816"
"Virginia"," Total of All Companies","Residential Sales Revenue","770378970","661009973","890039371","952127430","1174706604","1044650820","1120275702","1175287313","1046032894","1012374730","908302267","782927094","900186767","1009328260","890093038","756241229","854661725","945662688","930780907","855434314","1000986273"
"Washington"," Total of All Companies","Residential Sales Volume","84416287","73347019","71110301","70931914","73626393","75491296","80151924","84509482","84143329","75553813","85393222","79891867","83365242","78750357","71907071","76320567","91027823","83567170","89967051","87194066","89507498"
"Washington"," Total of All Companies","Residential Sales Revenue","826651272","684609819","599748874","703132577","868816770","1008909152","1110718194","1103853779","1174000651","925125425","1050288297","948607026","947818042","834160377","849238458","822816315","966544426","859078216","883407580","956751684","1040995826"
"West Virginia"," Total of All Companies","Residential Sales Revenue","255836378","259913642","305887081","330752764","387464663","410472767","387043421","399367029","386139839","307626114","273522674","242807540","264640526","288431348","259978648","214818600","210986483","258386480","236047672","231135833","249154967"
"West Virginia"," Total of All Companies","Residential Sales Volume","31937434","30790813","32207222","30329912","29793815","26083988","26527412","27516257","26171122","27020180","25072639","22537578","26514005","28256832","24807001","23209680","22384662","26255542","23849586","22852824","23817864"
"Wisconsin"," Total of All Companies","Residential Sales Volume","125146395","137234381","142067129","135169211","131215457","120567430","131160027","140575647","133175582","123617821","129445248","112554257","142985254","150409089","126853500","125448721","131018306","144520820","151590900","138383785","132368582"
"Wisconsin"," Total of All Companies","Residential Sales Revenue","1096703919","1008761098","1317002513","1373291114","1564765151","1467768525","1577030986","1800263255","1432357034","1278679349","1264756353","1043648558","1236299147","1581945580","1082837984","1012413183","1100228915","1161363877","1164352731","1040846370","1288862775"
"Wyoming"," Total of All Companies","Residential Sales Volume","10165350","6999523","6690621","6606481","6522538","6491052","6685251","10278220","9841763","9742371","10044494","8658644","10071858","9675890","8447198","8729532","9023038","9270993","9821292","9027484","8828728"
"Wyoming"," Total of All Companies","Residential Sales Revenue","85873697","42543623","47801229","57129661","68688806","75327645","59067218","104399171","92455662","83561272","87613085","72873362","83342302","90337258","78773056","74300506","81325921","79766273","79150578","79768434","88638233"
"Kansas","17600032KS (ABBYVILLE CITY OF)","Residential Sales Revenue","33945","26364","26374","39561","63466","39554","36461","42240","39350","22016","19251","14191","19666","24910","19916","17123","14676","21036","20963","13428","67731"
"Kansas","17600032KS (ABBYVILLE CITY OF)","Residential Sales Volume","4351","4555","4565","3856","3945","2899","3425","3789","3607","3188","2935","2487","3381","3354","2925","2770","2615","3034","3215","3296","2609"
"Iowa","17600033IA (MOULTON MUN GAS SYS)","Residential Sales Revenue","175766","144419","153768","189775","208589","207932","194212","190705","155581","129335","125544","96108","136584","149709","107536","99467","120482","142706","147794","124152","142315"
"Iowa","17600033IA (MOULTON MUN GAS SYS)","Residential Sales Volume","19496","17766","19544","18850","16556","15497","16600","16950","16622","14609","14260","12729","17005","16668","13031","11678","12715","14724","15504","13792","11963"
